Deepfake Detection Results
Weights: batchFacesAll
================================================================================

[1/4639] Image: fa9fd3dc-ca18-442d-acc5-3b92ee07b909__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9554
[17/4639] Image: ae961f63-b9d0-4124-8f3b-57996b0243ea__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0119
[18/4639] Image: fa407863-44a5-4658-acca-64cf7c7242f4__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8179
[19/4639] Image: edd676a4-7666-4613-9c70-487a29484f94__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1009
[20/4639] Image: 0f674326-c496-43c3-b46a-acd150317449__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8825
[21/4639] Image: 997e94c8-06a9-41b0-bb85-7c668cc37685__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7936
[22/4639] Image: 90f99502-90fd-4cc9-b9fb-bf73d5d748d6__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0164
[23/4639] Image: cb3bed0c-00af-4234-8909-68f41af6e26c__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5732
[24/4639] Image: c2b31878-1ff5-4b83-abc2-1edca7f6ad32__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9670
[25/4639] Image: d5bcd4f1-3498-47a9-bc47-3f29dd38a657__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7211
[26/4639] Image: 22869b7a-ae4a-42d7-aa9c-43439e7e6fab__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0659
[27/4639] Image: 7609f120-6fda-4d7b-951c-848a4dedad21__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9753
[28/4639] Image: 5e638443-4c0a-439d-b58f-4ea89edc653e__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0058
[29/4639] Image: cde4342e-4f3f-4acd-800f-ae797901f2dd__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8826
[30/4639] Image: 84341377-783a-4ea3-9b75-d78a6df2d0ca__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4884
[31/4639] Image: 5ac917ab-06c6-4ea8-96e4-a8792e50754a__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0027
[32/4639] Image: 6c5f3698-dc0e-4bec-8a88-c2d11b11f8a6__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8987
[33/4639] Image: f5c6f768-82f4-463d-902a-db68ccdff83a__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7693
[34/4639] Image: af970482-b5c2-4a67-bf42-ce49dcf9128c__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2183
[35/4639] Image: a08124b3-a20b-4feb-ac0b-5415ad6c4db3__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6414
[36/4639] Image: 351a296b-1c5a-455e-bb1b-ce2fc78b7635__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3244
[37/4639] Image: 6b8c0120-906b-4aa2-bb60-6ef32293b87e__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1657
[38/4639] Image: 3b1f9821-c31e-4346-a609-df92db273ee1__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0639
[39/4639] Image: ab6cc4f5-61b1-4624-b61e-c6def18de209__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9981
[40/4639] Image: 18c21d7c-e7d1-4412-ad56-d55eda807b4a__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0826
[41/4639] Image: 25fdbb78-846f-45c6-bfb3-276e40dee800__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9921
[42/4639] Image: 8268a38f-fcc3-4452-9277-d026ecea1fd5__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6937
[43/4639] Image: 45f34193-947d-49dd-bbe5-3bbdfe55799a__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0155
[44/4639] Image: 9c78dc11-150b-4619-beb9-c6de3f8046df__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9975
[45/4639] Image: 9239a5f6-f05b-49a4-9c9f-780320892372__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0573
[46/4639] Image: 843567de-eee2-4a92-a67a-2748be5cefeb__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5997
[47/4639] Image: daa4149f-a0cd-44ad-83bd-73fc4785757a__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9956
[48/4639] Image: 5c78c82a-a4c4-48d9-ba88-ab08aba1baa9__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0744
[49/4639] Image: 4ad6f2e0-5eb7-41bb-a49f-afb10b573850__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9452
[50/4639] Image: 9cb4b089-a3e5-4787-a27e-1909934674e5__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7978
[51/4639] Image: 3e1fe526-c898-40a4-9a0c-7290fe6867d1__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9764
[52/4639] Image: 475cdfb5-7cec-42df-a9a8-8e306f4ba9fb__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9997
[53/4639] Image: bcd89a71-e2a7-4788-89c0-0e2d47242b5c__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9937
[54/4639] Image: b372d2c2-3c2a-4c92-bb35-00d409182b6f__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3789
[55/4639] Image: 1a05a1c7-b618-42d1-a7c1-391339fdd0d1__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9977
[56/4639] Image: 172e3c3b-c41d-4bfa-9336-336e669381a9__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0315
[57/4639] Image: 0df5c4d8-f08e-4818-b52c-6c7bd246a3f1__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4787
[58/4639] Image: 3b91660a-570f-48e3-808e-ea6a5bbc15be__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9401
[59/4639] Image: 33ace0e0-86ec-412f-b799-c4d733aa0822__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3071
[60/4639] Image: 2ef133a6-fa1f-4578-b043-f8fc20274636__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8662
[61/4639] Image: bc6551c1-024c-4f9f-a058-6a27b705faae__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0067
[62/4639] Image: d1b16fb9-4e47-4259-9299-b6cdceb77c31__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1530
[63/4639] Image: 870bcd5e-1c51-4259-8907-efed0982f831__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0837
[64/4639] Image: 870bcd5e-1c51-4259-8907-efed0982f831__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3663
[65/4639] Image: b62f1b79-52f7-40ea-9347-b78e3708327e__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3407
[66/4639] Image: c38f0acc-299b-4231-99ea-2dde6b8b6736__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7232
[67/4639] Image: bbfbcf4d-ccd3-4824-8dc2-14330f492f28__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9518
[68/4639] Image: f1e446a6-2c74-4380-8bb3-4413541ae0fe__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3394
[69/4639] Image: 5115f192-722b-4efe-85d5-f588e53739be__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1608
[70/4639] Image: ce157f8b-17bd-442d-90bc-2f61ef1c5448__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9806
[71/4639] Image: e7fbc17b-22ad-4354-b5ef-85685e1d9ac0__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7049
[72/4639] Image: 44ae64c4-1d25-42b4-81f6-c7e8f0c77a02__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9375
[73/4639] Image: 068a40fb-0c2a-404e-92eb-a295604255f5__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0098
[74/4639] Image: c9a7bd36-9d46-4623-ae5b-2d0de6bb62b2__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0897
[75/4639] Image: 53bc75ca-8f69-4a9c-b973-7300e92d30f6__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2549
[76/4639] Image: 20ed4456-82a5-491c-a28c-0014f747cb73__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9866
[77/4639] Image: 2b5d85b3-e517-4432-8b41-b3008cf2eb14__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9966
[78/4639] Image: 76cb68d7-55a3-4cde-89f1-b969cfe18700__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2588
[79/4639] Image: 0fcba459-9503-4f99-9a43-cc5f3e9770fb__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9966
[80/4639] Image: 77ded481-5652-4876-86e4-953e00e3fc33__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0023
[81/4639] Image: 79e6550f-8aba-47b1-a0c5-a7820b2da609__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0069
[82/4639] Image: 992fb836-af0f-427c-9981-77f8acea3713__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7497
[83/4639] Image: bccf13c3-26c7-44f4-82e2-76bf43eee1fc__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8100
[84/4639] Image: 32b9b597-cff8-4a36-bacf-f9413a575333__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7083
[85/4639] Image: 53bed824-7d4e-48e7-b8e4-215505fcc373__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9775
[86/4639] Image: 73e84f2b-48ee-47cd-aa79-219426bb7e20__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9979
[87/4639] Image: 372b62da-59af-4234-8a05-761e9d90d10a__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0052
[88/4639] Image: 9e55178c-2b68-46a8-9418-d9949506c49e__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9605
[89/4639] Image: 7ea014a7-1786-400e-9659-7d03f13e3136__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0650
[90/4639] Image: c8f21a16-b254-4c20-b9dc-10e02a101b28__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1679
[91/4639] Image: 95bd69ab-8def-4b3b-89e7-494f621f2dd1__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8809
[92/4639] Image: a59cc054-0b24-4a34-a614-0ac5aefc16c0__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6459
[93/4639] Image: aa092e45-3d9c-458d-9e12-7d131323f710__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8749
[94/4639] Image: 326db107-6822-4f4a-8a22-102f57c12493__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2633
[95/4639] Image: d243cc75-6345-4a44-82f3-13ea00c60963__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7612
[96/4639] Image: 6836033e-4b87-419c-be5c-7160d85bd01b__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9802
[97/4639] Image: ad31b560-2001-4c4a-8d6a-ad78db4211a3__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0505
[98/4639] Image: 163407a7-b5e7-4953-a752-73b1ba043520__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4179
[99/4639] Image: 2be586c6-0d7f-463b-a223-e10fff3dfa68__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9147
[100/4639] Image: 5e651be3-5ba3-4295-b74f-1136a36c5e8c__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9968
[101/4639] Image: e6d3e072-5519-4269-bdf8-bd8642ea7814__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6650
[102/4639] Image: b83ad2f1-11a5-412b-ac24-8289cae2238a__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9932
[103/4639] Image: 29f2ece6-45a9-428f-a7e4-6a00ce462d2c__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7433
[104/4639] Image: 6277bed2-a638-48e9-a603-5ee047171cf5__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5038
[105/4639] Image: 1405be78-2585-4d05-8d32-75d3d29d5672__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9782
[106/4639] Image: 266d35cf-2d98-4af7-a8b2-9c816f72593e__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1086
[107/4639] Image: 7d1e14cf-7bf3-4b5e-baf0-ba93923d2d44__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0113
[108/4639] Image: 88dd5016-1442-425b-9c15-0582ac2aea0c__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2918
[109/4639] Image: 2c0d9909-2a31-47dc-b8e0-3b21d6a4fb71__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5107
[110/4639] Image: 36377e85-041b-4218-9754-898278cd9f72__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1645
[111/4639] Image: 85da7bb7-25fb-41cb-b4ca-73bbe20a7bf2__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9572
[112/4639] Image: b8b73f98-ecde-4bc0-b6d1-9ead0cb33d4f__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5005
[113/4639] Image: 8184e1c0-9632-43cc-abba-1ec13264045c__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4436
[114/4639] Image: 58f9cacb-a0ea-42cb-94c9-c52dfb1c16be__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5604
[115/4639] Image: 03e651cd-241a-46d6-ab8a-7ae9afb8a45a__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9968
[116/4639] Image: 0efe4cb6-e451-45a6-8432-99d337caed15__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9987
[117/4639] Image: b03a1581-933e-4299-9c98-31d23ea4fe09__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0425
[118/4639] Image: bb7a4bc6-c073-4b1f-a97c-d440ed5114e3__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4979
[119/4639] Image: d3f967f3-fb28-4680-bad8-6d6af98a79e5__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5424
[120/4639] Image: d30819ca-53c5-4ee7-8d4e-e1a5b06bcb3d__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0073
[121/4639] Image: 59adcfaf-ddf2-45c4-b973-a0958935382d__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6623
[122/4639] Image: 50943c41-01dd-4faa-a627-640e8e06df59__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8886
[123/4639] Image: 30cd1f2e-71cc-4003-986d-92b3b00fc052__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0309
[124/4639] Image: 14950819-8510-4e8a-9665-c36b1784f31a__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2009
[125/4639] Image: d8abd58d-970b-4e88-8822-af42a8e3d212__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4097
[126/4639] Image: 9ebfa2ca-a7c1-4191-b69a-d7922655a537__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9284
[127/4639] Image: 4acf5656-2bf2-42e5-a727-ca3dcf8a53a8__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1415
[128/4639] Image: 882b4b31-8a89-4489-94ec-ed88ea129fc7__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1297
[129/4639] Image: 4b1fc01a-d9d7-407e-9a80-97306ad3ac4f__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0245
[130/4639] Image: 50943c41-01dd-4faa-a627-640e8e06df59__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9588
[131/4639] Image: 36c6c701-6bb9-46ad-af71-8fcb17b677c3__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1779
[132/4639] Image: a0d8c386-dcaa-473e-87e0-9a5cf7737a8e__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7687
[133/4639] Image: 4003dba9-7a1b-4945-9b17-475c89d05245__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0669
[134/4639] Image: 4323d0da-00c7-4bb0-894b-50784870f965__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3793
[135/4639] Image: bcd89a71-e2a7-4788-89c0-0e2d47242b5c__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3161
[136/4639] Image: 8ee3dcd8-56aa-43c6-93fa-5e82322aad8c__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0013
[137/4639] Image: 765b214b-032d-49d6-8bfb-1356be3707c5__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9951
[138/4639] Image: a481e507-756b-4d39-8647-af9f552ad932__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2787
[139/4639] Image: 64845c72-e15a-448e-8765-cbd471f6fb7b__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0803
[140/4639] Image: d6ddcb18-b8b2-46a4-a6a5-c3703a6b091f__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2032
[141/4639] Image: 9f2592bf-15e9-49ec-8196-c3bf829882a1__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3251
[142/4639] Image: 36d7a138-e59e-4bd4-9e77-24ba42fb7afa__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8883
[143/4639] Image: 7bbb81d6-b724-4809-bd0a-b2a2a771bf95__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0703
[144/4639] Image: 2c3de145-b393-4848-9e4f-18f14e62f9f8__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0574
[145/4639] Image: 3bb4c957-4b5b-4750-8f8b-ca8a04db1135__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0770
[146/4639] Image: a7c6b4fe-7d9b-4a32-a1e0-020e2e4bf672__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9901
[147/4639] Image: bca640f8-3104-4e64-8552-a9b0d6546f74__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8042
[148/4639] Image: 3283bf86-55de-47ce-8ca7-9bb7be9a6289__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9668
[149/4639] Image: 2e8ee688-c2b8-4fe7-9ffe-c6c28afca1f5__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4680
[150/4639] Image: e1ec9cea-1ced-4d9b-8d80-608af2b22315__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5987
[151/4639] Image: 1b55c6c6-0882-4a25-865a-9f3a16daf53d__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0919
[152/4639] Image: 223f0619-589d-4531-a033-3653cbedb45a__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9993
[153/4639] Image: 5f8c39ad-a9a0-4b8a-b007-0809ec7fad48__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9920
[154/4639] Image: b4cc3eac-3200-482e-840f-ccabc8bf0ba3__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8725
[155/4639] Image: 15e973b0-7b26-492a-8987-49c6896ccab3__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5374
[156/4639] Image: 420b88ed-0e05-4f26-a906-d1381c0bfaf5__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4060
[157/4639] Image: fc857789-39f2-4bc3-aba2-8eda82d8ecac__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0731
[158/4639] Image: 262439a3-fd30-4cab-a436-4d0a2aa1c7c2__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0530
[159/4639] Image: 7f10a592-d231-4f6a-81fc-f3e0c84d52a7__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9807
[160/4639] Image: fb2d7e72-d0b1-43f4-8b6a-4dd3b6315c89__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3527
[161/4639] Image: 89b17ab3-dc43-4d70-aa3a-4bd9df90c1f0__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8033
[162/4639] Image: 2a8c1f04-d30b-429d-b157-d672b5588776__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5765
[163/4639] Image: f5135398-1759-4557-8e8d-468768b5c348__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9933
[164/4639] Image: 32b17e21-25ae-4af0-b040-df0d61ce2c30__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1174
[165/4639] Image: 32ecd432-639d-4976-8f6a-a78431d8f4e7__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1030
[166/4639] Image: 1e0231ed-de67-4028-8e12-8238b1827170__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9701
[167/4639] Image: d6db319e-cdec-4b1c-a787-5322f46a9025__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6498
[168/4639] Image: 7dfbd180-334e-413f-8078-a1c0d3d9618c__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5047
[169/4639] Image: d42b02f6-96a6-4c56-9bea-3fdb61fc6420__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1317
[170/4639] Image: a8804deb-64d0-40a6-85bd-bcd988a10b05__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9544
[171/4639] Image: 32ecd432-639d-4976-8f6a-a78431d8f4e7__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9185
