Deepfake Detection Results
================================================================================

[1/3000]                        010.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2029 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0031/010.png
[13/3000]                        086.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3714 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0039/086.png
[14/3000]                        037.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3361 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0000/037.png
[15/3000]                        009.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9837 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0025_fake/009.png
[16/3000]                        213.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6629 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0042/213.png
[17/3000]                        120.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9063 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0025/120.png
[18/3000]                        136.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4343 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0027/136.png
[19/3000]                        141.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9853 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0012_fake/141.png
[20/3000]                        024.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3766 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0013/024.png
[21/3000]                        164.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9896 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0002_fake/164.png
[22/3000]                        000.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3349 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0008/000.png
[23/3000]                        006.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9763 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0037_fake/006.png
[24/3000]                        125.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5328 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0029/125.png
[25/3000]                        102.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7326 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0047/102.png
[26/3000]                        018.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7004 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0032/018.png
[27/3000]                        075.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3206 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0000/075.png
[28/3000]                        026.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7640 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0028/026.png
[29/3000]                        110.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8894 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0038/110.png
[30/3000]                        007.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9924 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0020_fake/007.png
[31/3000]                        090.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6255 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0015/090.png
[32/3000]                        348.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9841 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0018_fake/348.png
[33/3000]                        030.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7025 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0027/030.png
[34/3000]                        104.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2955 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0003/104.png
[35/3000]                        085.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9837 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0003_fake/085.png
[36/3000]                        256.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4610 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0030/256.png
[37/3000]                        307.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9917 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0047_fake/307.png
[38/3000]                        106.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4130 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0020/106.png
[39/3000]                        136.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9803 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0027_fake/136.png
[40/3000]                        027.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6365 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0036/027.png
[41/3000]                        014.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9798 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0017_fake/014.png
[42/3000]                        060.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5380 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0029/060.png
[43/3000]                        123.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9741 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0016_fake/123.png
[44/3000]                       1321.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9798 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0042_fake/1321.png
[45/3000]                        133.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9917 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0011_fake/133.png
[46/3000]                        134.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9895 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0025_fake/134.png
[47/3000]                        260.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4408 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0043_fake/260.png
[48/3000]                        210.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4688 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0030/210.png
[49/3000]                        153.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9583 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0015_fake/153.png
[50/3000]                        096.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9684 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0031_fake/096.png
[51/3000]                        051.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9928 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0004_fake/051.png
[52/3000]                        054.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4628 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0034/054.png
[53/3000]                        017.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3648 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0035/017.png
[54/3000]                        155.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9758 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0022_fake/155.png
[55/3000]                        065.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3548 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0021/065.png
[56/3000]                        168.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9912 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0013_fake/168.png
[57/3000]                        051.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7242 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0038/051.png
[58/3000]                        094.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3257 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0002/094.png
[59/3000]                        018.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6283 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0036/018.png
[60/3000]                        028.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9893 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0009_fake/028.png
[61/3000]                        080.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6133 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0029_fake/080.png
[62/3000]                        048.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6351 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0004/048.png
[63/3000]                        103.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5933 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0004/103.png
[64/3000]                        066.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7157 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0037/066.png
[65/3000]                        759.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5940 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0041/759.png
[66/3000]                        008.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1994 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0016/008.png
[67/3000]                        099.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5395 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0027/099.png
[68/3000]                        005.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2406 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0033_fake/005.png
[69/3000]                        039.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9903 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0002_fake/039.png
[70/3000]                        085.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4742 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0029_fake/085.png
[71/3000]                        094.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4473 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0034/094.png
[72/3000]                        171.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4110 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0032/171.png
[73/3000]                        007.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9710 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0023_fake/007.png
[74/3000]                        161.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1538 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0023/161.png
[75/3000]                        128.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9788 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0016_fake/128.png
[76/3000]                        085.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5820 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0032/085.png
[77/3000]                        046.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9898 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0000_fake/046.png
[78/3000]                        166.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4508 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0024/166.png
[79/3000]                        234.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4228 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0010/234.png
[80/3000]                        230.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9925 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0047_fake/230.png
[81/3000]                        070.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5106 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0029/070.png
[82/3000]                        017.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7184 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0037/017.png
[83/3000]                        042.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4808 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0003/042.png
[84/3000]                        331.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9868 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0044_fake/331.png
[85/3000]                        064.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1866 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0031/064.png
[86/3000]                        267.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9833 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0011_fake/267.png
[87/3000]                        083.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9902 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0036_fake/083.png
[88/3000]                        028.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5484 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0045/028.png
[89/3000]                        013.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9907 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0028_fake/013.png
[90/3000]                        072.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4481 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0043/072.png
[91/3000]                        070.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2103 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0020/070.png
[92/3000]                        104.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9940 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0005_fake/104.png
[93/3000]                        120.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6448 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0029_fake/120.png
[94/3000]                        045.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8496 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0030_fake/045.png
[95/3000]                        102.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4799 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0010/102.png
[96/3000]                        055.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9921 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0032_fake/055.png
[97/3000]                        159.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9938 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0007_fake/159.png
[98/3000]                        195.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9679 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0015_fake/195.png
[99/3000]                        133.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7586 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0035/133.png
[100/3000]                        154.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1765 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0023/154.png
[101/3000]                        468.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9866 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0042_fake/468.png
[102/3000]                        035.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6741 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0038/035.png
[103/3000]                        144.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9777 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0014_fake/144.png
[104/3000]                        397.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9811 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0046_fake/397.png
[105/3000]                        000.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7079 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0037/000.png
[106/3000]                        088.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5173 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0020/088.png
[107/3000]                        083.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6071 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0015/083.png
[108/3000]                        070.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8397 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0004/070.png
[109/3000]                        106.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6654 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0036/106.png
[110/3000]                        205.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9801 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0010_fake/205.png
[111/3000]                        014.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9801 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0039_fake/014.png
[112/3000]                        009.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9846 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0003_fake/009.png
[113/3000]                        027.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9673 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0037_fake/027.png
[114/3000]                        085.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2531 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0031/085.png
[115/3000]                        197.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9886 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0000_fake/197.png
[116/3000]                       1104.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9877 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0040_fake/1104.png
[117/3000]                        061.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9878 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0027_fake/061.png
[118/3000]                        759.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3820 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0040/759.png
[119/3000]                        000.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3979 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0011/000.png
[120/3000]                        375.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9178 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0045/375.png
[121/3000]                        327.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4313 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0043/327.png
[122/3000]                        241.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3158 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0008/241.png
[123/3000]                        036.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9715 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0017_fake/036.png
[124/3000]                        096.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5906 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0036/096.png
[125/3000]                        117.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5892 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0027/117.png
[126/3000]                        133.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3635 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0008/133.png
[127/3000]                        291.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3583 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0000/291.png
[128/3000]                        050.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9821 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0036_fake/050.png
[129/3000]                        512.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6464 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0047/512.png
[130/3000]                        036.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4458 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0013/036.png
[131/3000]                        017.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9892 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0006_fake/017.png
[132/3000]                        007.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3259 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0026/007.png
[133/3000]                        043.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9774 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0024_fake/043.png
[134/3000]                        174.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8435 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0030_fake/174.png
[135/3000]                        036.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9964 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0032_fake/036.png
